"ā","","","but","都","?"
"á","𬪂","𬪂㘿","I, me","我","Ct 我"
"ä","ぁ","ぁ上","to","往","Pt a"
"äl","/","/","let's","讓我們","?"
"ám","三","/","three","三","Ct 三"
"än","安","安全","see 安全","見“安全”條","Zh 安"
"án","俺","/","I","我","Ct 俺"
"ānï","/","/","acknowledging that what the speaker did was dangerous","承認行為是危險的","?"
"āsūm","/","/","shop","商店","tp esun"
"ǣ","即","即係","see 即係","見“即係”條","Ct 即"
"bä","百","一百","hundred","百","Ct 百"
"bȧ","吧","抱吧","(intensifier / verbifier)","吧；動詞化","Zh 吧"
"bə̈","爸","爸爸","see 爸爸","見“爸爸”條","Ct 爸爸"
"bëɪ","俾","/","give","給","Ct 俾"
"bī","嗶","嗶嗶車","(onomatopoeic) bell dinging","（擬聲）叮叮聲","Ct 嗶"
"bï","𠑟","依𠑟","side","邊界、方向、地方","Ct 邊"
"bīn","邊","邊處","which","哪","Ct 邊"
"blǣ","/","/","flat (music note)","降（音樂）","En flat"
"bō","抱","抱吧","hug","抱","Zh 抱"
"bō","","波","see 波","見“波”條","Ct 乒乓波"
"bō","波","波","ball","球","Ct 波"
"bö","","一","(denotes quantity)","個","Ct 個"
"bōˊ","𠱀","𠱀𠱀車","(onomatopoeic) honking","（擬聲）大型車輛嗶嗶聲","Ct 嗶"
"būn","幫","幫手","help","幫","Ct 幫"
"cẏ","全","安全","see 安全","見“安全”條","Ct 全"
"dá","咑","咑鿜咑鿜咑","(exclamation)","（大叫聲）","Ct 打"
"dáɪ","㗣","/","(exclamation)","（大叫聲）","Ct 打"
"däɪ","大","/","big","大","Ct 大"
"dáɪ","帶","安全帶","belt","帶","Ct 帶"
"dëˊ","謝","謝謝","thank","謝","Ct 謝"
"də̇","的","/","-ly / it is","的","Zh 的"
"də̄w","𧿫","𧿫𧿫","dance (see 𧿫𧿫)","跳舞（見“𧿫𧿫”條）","(probably onomatopoeic)"
"dï","電","電視璣","electricity","電","Ct 電"
"djæ̀n","癲","/","crazy","狂；癲","Zh 癲"
"dōw","多","多","many","多","Ct 多"
"du̇","到","/","arrive / go","到、去","Ct 到"
"ē","/","/","can be","可以是","GA ė / Pt é / En is"
"ë","你","/","you","你","Ct 你"
"ë","二","/","two","二","Ct 二"
"ë","備","預備","see 預備","見“預備”條","Zh 預備?"
"ė","/","/","is","是","Pt é / En is"
"ėgīdë","/","/","action","行動","?"
"ënäɪ","/","/","and I","和我、以及我","En and I"
"ə̇","阿","阿婆","(name prefix)","阿","Ct 阿"
"fā","花","花市","flower","花市","Ct 花"
"fàn","飯","飯哪𡁻","meal, rice","飯","Ct 飯"
"gā","今","今","this","今","Ct 今"
"gā","雞","雞翼","chicken","雞","Ct 雞"
"gā","加","/","add / plus","加","Ct 加"
"gä","㗎","/","(particle) it is","的、啊","Ct 㗎"
"gá","搞","搞笑","see 搞笑","見“搞笑”條","Ct 搞笑"
"gá","港","香港","see 香港","見“香港”條","Ct 香港"
"gȧw","嚿","幾嚿","piece","塊","Ct 嚿"
"gáw","/","/","red","紅色","?"
"géɪ","幾","幾嚿","few","數","Ct 幾"
